Electron + Photon:

Event: 294124902, Run = 276811, Lumi = 177, met = 143.309, phoEt = 46.9767, HT = 507.837
Event: 1685601407, Run = 276811, Lumi = 935, met = 123.342, phoEt = 145.971, HT = 750.091
Event: 3435844786, Run = 276811, Lumi = 2120, met = 146.586, phoEt = 43.1394, HT = 159.48
Event: 504309323, Run = 276808, Lumi = 258, met = 151.233, phoEt = 63.2626, HT = 0
Event: 440535682, Run = 276808, Lumi = 224, met = 137.753, phoEt = 451.854, HT = 549.653
Event: 2147397231, Run = 276831, Lumi = 1183, met = 141.496, phoEt = 85.6259, HT = 75.3828
Event: 1160188156, Run = 276831, Lumi = 669, met = 189.498, phoEt = 101.494, HT = 32.6077
Event: 995235152, Run = 277094, Lumi = 565, met = 152.219, phoEt = 64.3606, HT = 160.606
Event: 1235609986, Run = 276831, Lumi = 704, met = 176.967, phoEt = 89.889, HT = 291.775
Event: 4772030348, Run = 276870, Lumi = 2660, met = 150.059, phoEt = 57.7298, HT = 0
Event: 5338999571, Run = 276870, Lumi = 3029, met = 148.848, phoEt = 41.8107, HT = 326.051
Event: 3801392257, Run = 276831, Lumi = 2097, met = 133.435, phoEt = 36.0222, HT = 93.5704
Event: 2766411009, Run = 276831, Lumi = 1541, met = 457.835, phoEt = 98.0674, HT = 838.834
Event: 4016556127, Run = 276870, Lumi = 2214, met = 169.084, phoEt = 61.0322, HT = 423.698
Event: 456046480, Run = 276870, Lumi = 306, met = 122.866, phoEt = 179.682, HT = 321.977
Event: 1507997663, Run = 276870, Lumi = 861, met = 203.939, phoEt = 64.1266, HT = 356.05
Event: 1664781451, Run = 276870, Lumi = 950, met = 150.384, phoEt = 45.3455, HT = 339.581
Event: 356733690, Run = 277069, Lumi = 251, met = 215.566, phoEt = 64.2782, HT = 96.5042
Event: 630728964, Run = 276935, Lumi = 424, met = 172.935, phoEt = 38.7589, HT = 120.023
Event: 252905674, Run = 276935, Lumi = 212, met = 135.033, phoEt = 42.6594, HT = 114.11
Event: 338118700, Run = 277166, Lumi = 252, met = 242.714, phoEt = 59.4926, HT = 0
Event: 3401423407, Run = 276831, Lumi = 1873, met = 150.728, phoEt = 55.9257, HT = 39.4168
Event: 27008467, Run = 276950, Lumi = 17, met = 153.032, phoEt = 44.4463, HT = 68.5391
Event: 1012760978, Run = 277305, Lumi = 612, met = 125.942, phoEt = 57.3524, HT = 0
Event: 4241299417, Run = 276870, Lumi = 2342, met = 225.773, phoEt = 305.761, HT = 0
